Building Name,Path,Certification date,City,State,Country,Rating system,Version,Certification level (name),Certification level (numeric)
Takoma Park Public Works Facility,http://www.usgbc.org/projects/takoma-park-public-works-facility,03/28/2013 12:00:00 AM,Silver Spring,Maryland [MD],United States [us],New Construction,v2009,Silver,3
White Oak Recreation Center,http://www.usgbc.org/projects/white-oak-recreation-center,03/28/2013 12:00:00 AM,Silver Spring,Maryland [MD],United States [us],New Construction,v2.2,Gold,2
Twinbrook Station,http://www.usgbc.org/projects/twinbrook-station,11/10/2008 12:00:00 AM,Rockville,Maryland [MD],United States [us],Neighborhood Development,v1.0 pilot,Gold,2
NASDAQ OMX,http://www.usgbc.org/projects/nasdaq-omx,11/20/2012 12:00:00 AM,Rockville,Maryland,United States,Commercial Interiors,v2009,Gold,2
The Boston Consulting Group,http://www.usgbc.org/projects/boston-consulting-group,07/30/2011 12:00:00 AM,Bethesda,Maryland,United States,Commercial Interiors,v2009,Silver,3
Lockheed Martin Gaithersburg182 3rd Flr,http://www.usgbc.org/projects/lockheed-martin-gaithersburg182-3rd-flr,03/19/2013 12:00:00 AM,Gaithersburg,Maryland [MD],United States [us],Commercial Interiors,v2009,Gold,2
Kol Shalom Phase 1,http://www.usgbc.org/projects/kol-shalom-phase-1,03/12/2013 12:00:00 AM,Rockville,Maryland [MD],United States [us],New Construction,v2.2,Gold,2
1150 Ripley Street,http://www.usgbc.org/projects/1150-ripley-street,02/27/2013 12:00:00 AM,Silver Spring,Maryland [MD],United States [us],New Construction,v2.2,Gold,2
Democracy 2,http://www.usgbc.org/projects/democracy-2,10/31/2012 12:00:00 AM,Bethesda,Maryland [MD],United States [us],Existing Buildings,v2009,Certified,4
Democracy 1,http://www.usgbc.org/projects/democracy-1,10/31/2012 12:00:00 AM,Bethesda,Maryland [MD],United States [us],Existing Buildings,v2009,Silver,3
Cabin John Middle School,http://www.usgbc.org/projects/cabin-john-middle-school,10/15/2012 12:00:00 AM,Potomac,Maryland [MD],United States [us],Schools - New Construction,v2007,Gold,2
Discovery Communications Global HQ,http://www.usgbc.org/projects/discovery-communications-global-hq,12/20/2007 12:00:00 AM,Silver Spring,Maryland [MD],United States [us],Existing Buildings,v2.0,Platinum,1
7700 Old Georgetown Road- Garden Plaza,http://www.usgbc.org/projects/7700-old-georgetown-road-garden-plaza,07/13/2012 12:00:00 AM,Bethesda,Maryland [MD],United States [us],Core and Shell,v2009,Gold,2
