Building Name,Path,Certification date,City,State,Country,Rating system,Version,Certification level (name),Certification level (numeric)
Equip. Maintenance and Operations Center,http://www.usgbc.org/projects/equip-maintenance-and-operations-center,12/19/2014 12:00:00 AM,Rockville,Maryland [MD],United States [us],New Construction,v2.2,Gold,2
The Aurora at NBC,http://www.usgbc.org/projects/aurora-nbc,12/19/2014 12:00:00 AM,North Bethesda,Maryland [MD],United States [us],New Construction,v2.2,Silver,3
JBG 5635 Fishers Lane,http://www.usgbc.org/projects/jbg-5635-fishers-lane,12/09/2014 12:00:00 AM,Rockville,Maryland [MD],United States [us],Existing Buildings,v2009,Silver,3
Aquilino Cancer Center,http://www.usgbc.org/projects/aquilino-cancer-center,12/04/2014 12:00:00 AM,Rockville,Maryland [MD],United States [us],Core and Shell,v2009,Gold,2
Weller Road ES,http://www.usgbc.org/projects/weller-road-es,12/02/2014 12:00:00 AM,Silver Spring,Maryland [MD],United States [us],Schools - New Construction,v2007,Gold,2
Highland Avenue,http://www.usgbc.org/projects/highland-avenue,11/13/2014 12:00:00 AM,Clarksburg,Maryland [MD],United States [us],Homes,v2008,Silver,3
5601 Fishers Lane Base Building,http://www.usgbc.org/projects/5601-fishers-lane-base-building,11/25/2014 12:00:00 AM,Rockville,Maryland [MD],United States [us],Core and Shell,v2009,Gold,2
4500 East West Highway LLC,http://www.usgbc.org/projects/4500-east-west-highway-llc,11/05/2014 12:00:00 AM,Bethesda,Maryland [MD],United States [us],Core and Shell,v2.0,Platinum,1
Suburban Hospital Campus Enhancement,http://www.usgbc.org/projects/suburban-hospital-campus-enhancement,,Bethesda,Maryland [MD],United States [us],Healthcare,v2009,Gold,2
Aventura North,http://www.usgbc.org/projects/aventura-north-0,09/30/2014 12:00:00 AM,Silver Spring,Maryland [MD],United States [us],Retail - New Construction,v1.0 pilot,Certified,4
The Premier,http://www.usgbc.org/projects/premier,09/08/2014 12:00:00 AM,Silver Spring,Maryland [MD],United States [us],New Construction,v2009,Silver,3
Derwood Bible Church Expansion,http://www.usgbc.org/projects/derwood-bible-church-expansion,08/22/2014 12:00:00 AM,Derwood,Maryland [MD],United States [us],New Construction,v2009,Silver,3
Bethesda Crossing North,http://www.usgbc.org/projects/bethesda-crossing-north,06/04/2014 12:00:00 AM,Bethesda,Maryland [MD],United States [us],Existing Buildings,v2009,Gold,2
Towneplace Suites at Frederick Maryland,http://www.usgbc.org/projects/towneplace-suites-frederick-maryland,08/21/2014 12:00:00 AM,Bethesda,Maryland [MD],United States [us],New Construction,v2.2,Silver,3
Beverly Farms ES,http://www.usgbc.org/projects/beverly-farms-es,07/31/2014 12:00:00 AM,Potomac,Maryland [MD],United States [us],Schools - New Construction,v2007,Gold,2
Silver Spring Metro Plaza -8405,http://www.usgbc.org/projects/silver-spring-metro-plaza-8405,07/21/2014 12:00:00 AM,Silver Spring,Maryland [MD],United States [us],Existing Buildings,v2009,Gold,2
Silver Spring Metro Plaza - 8401,http://www.usgbc.org/projects/silver-spring-metro-plaza-8401,07/21/2014 12:00:00 AM,Silver Spring,Maryland [MD],United States [us],Existing Buildings,v2009,Gold,2
Silver Spring Metro Plaza - 8403,http://www.usgbc.org/projects/silver-spring-metro-plaza-8403,07/21/2014 12:00:00 AM,Silver Spring,Maryland [MD],United States [us],Existing Buildings,v2009,Gold,2
Residence Inn Silver Spring,http://www.usgbc.org/projects/residence-inn-silver-spring,07/02/2014 12:00:00 AM,Silver Spring,Maryland [MD],United States [us],Existing Buildings,v2009,Gold,2
The Gallery at Bethesda Phase 1,http://www.usgbc.org/projects/gallery-bethesda-phase-1,06/27/2014 12:00:00 AM,Bethesda,Maryland [MD],United States [us],New Construction,v2.2,Gold,2
6700 Rockledge ste500,http://www.usgbc.org/projects/6700-rockledge-ste500,06/16/2014 12:00:00 AM,Bethesda,Maryland [MD],United States [us],Commercial Interiors,v2009,Gold,2
Plum Gar Recreation Center,http://www.usgbc.org/projects/plum-gar-recreation-center,06/13/2014 12:00:00 AM,Germantown,Maryland [MD],United States [us],New Construction,v2009,Silver,3
Courtyard by Marriott at Aberdeen Airpor,http://www.usgbc.org/projects/courtyard-marriott-aberdeen-airpor,06/02/2014 12:00:00 AM,Bethesda,Maryland [MD],United States [us],New Construction,v2.2,Certified,4
Victory Crossing,http://www.usgbc.org/projects/victory-crossing,,Silver Spring,Maryland [MD],United States [us],New Construction,v4,Platinum,1
Safeway 2781,http://www.usgbc.org/projects/safeway-2781,05/16/2014 12:00:00 AM,Wheaton,Maryland [MD],United States [us],Retail - Commercial Interiors,v2009,Gold,2
FDA Bldg 66 CDRH,http://www.usgbc.org/projects/fda-bldg-66-cdrh,11/21/2010 12:00:00 AM,Silver Spring,Maryland,United States,New Construction,v2.2,Gold,2
Building One - FDA Consolidation,http://www.usgbc.org/projects/building-one-fda-consolidation,02/22/2010 12:00:00 AM,Silver Spring,Maryland,United States,New Construction,v2.2,Gold,2
FDA Bldg 31-32 OC/ORA,http://www.usgbc.org/projects/fda-bldg-31-32-ocora,10/17/2011 12:00:00 AM,Silver Spring,Maryland,United States,New Construction,v2.2,Gold,2
FDA Bldg 2 CSU,http://www.usgbc.org/projects/fda-bldg-2-csu,03/19/2010 12:00:00 AM,Silver Spring,Maryland,United States,New Construction,v2.1,Silver,3
Marriott Headquarters,http://www.usgbc.org/projects/marriott-headquarters,02/22/2010 12:00:00 AM,Bethesda,Maryland,United States,Existing Buildings,v2008,Gold,2
Two Rockledge Center,http://www.usgbc.org/projects/two-rockledge-center,04/08/2014 12:00:00 AM,Bethesda,Maryland [MD],United States [us],Existing Buildings,v2009,Gold,2
3 White Flint North,http://www.usgbc.org/projects/3-white-flint-north,05/01/2013 12:00:00 AM,Rockville,Maryland,United States,New Construction,v2.2,Gold,2
Garrett Park Elementary School Addition,http://www.usgbc.org/projects/garrett-park-elementary-school-addition,04/03/2014 12:00:00 AM,Kensington,Maryland [MD],United States [us],Schools - New Construction,v2007,Gold,2
The Providence at Lone Oak,http://www.usgbc.org/projects/providence-lone-oak,05/15/2013 12:00:00 AM,Bethesda,Maryland [MD],United States [us],Homes,v2008,Silver,3
Bradley Blvd Model Home,http://www.usgbc.org/projects/bradley-blvd-model-home,11/04/2011 12:00:00 AM,Bethesda,Maryland [MD],United States [us],Homes,v2008,Certified,4
Whalley-Otto,http://www.usgbc.org/projects/whalley-otto,08/03/2010 12:00:00 AM,Kensington,Maryland [MD],United States [us],Homes,v2008,Gold,2
7203 Oakridge Ave.,http://www.usgbc.org/projects/7203-oakridge-ave,02/07/2011 12:00:00 AM,Chevy Chase,Maryland [MD],United States [us],Homes,v2008,Certified,4
5133 Fairglen,http://www.usgbc.org/projects/5133-fairglen,03/11/2010 12:00:00 AM,Chevy Chase,Maryland [MD],United States [us],Homes,v2008,Platinum,1
Hyatt House,http://www.usgbc.org/projects/hyatt-house,05/22/2012 12:00:00 AM,Bethesda,Maryland [MD],United States [us],Homes,v2008,Platinum,1
Courtyard by Marriott at Briarcliff,http://www.usgbc.org/projects/courtyard-marriott-briarcliff,03/31/2014 12:00:00 AM,Bethesda,Maryland [MD],United States [us],New Construction,v2.2,Certified,4
QIAGEN Germantown Campus Expansion,http://www.usgbc.org/projects/qiagen-germantown-campus-expansion,03/25/2014 12:00:00 AM,Germantown,Maryland [MD],United States [us],New Construction,v2009,Silver,3
WB - 10th Fl Interior Renovation,http://www.usgbc.org/projects/wb-10th-fl-interior-renovation,03/20/2014 12:00:00 AM,Rockville,Maryland [MD],United States [us],Commercial Interiors,v2009,Silver,3
ICF Rockville Floors 1 and 2,http://www.usgbc.org/projects/icf-rockville-floors-1-and-2,03/07/2014 12:00:00 AM,Rockville,Maryland [MD],United States [us],Commercial Interiors,v2009,Gold,2
MandT DiamondFarms,http://www.usgbc.org/projects/mandt-diamondfarms,02/26/2014 12:00:00 AM,Gaithersburg,Maryland [MD],United States [us],New Construction,v2009,Certified,4
